,station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,Location,latitude,longitude
107,40290,Ashland/63rd,01/01/2001,1774.4,927.3,648.6,45989,"(41.77886, -87.663766)",42.04771,-87.683543
108,41290,Kimball,01/01/2001,4022.5,2128.8,1110.6,102564,"(41.967901, -87.713065)",,
109,41180,Kedzie-Brown,01/01/2001,1444.7,902.8,554.8,38169,"(41.965996, -87.708821)",,
110,40870,Francisco,01/01/2001,1085.5,459.0,235.4,26893,"(41.966046, -87.701644)",,
111,41010,Rockwell,01/01/2001,1267.0,512.8,295.8,31403,"(41.966115, -87.6941)",41.89681,-87.635924
112,41480,Western-Brown,01/01/2001,3421.9,1631.5,902.8,86321,"(41.966163, -87.688502)",,
113,40090,Damen-Brown,01/01/2001,2083.4,1030.5,536.2,52637,"(41.966286, -87.678639)",41.880745,-87.627696
114,41500,Montrose-Brown,01/01/2001,2016.1,910.8,489.6,50446,"(41.961756, -87.675047)",,
115,41460,Irving Park-Brown,01/01/2001,2315.0,932.5,471.8,57018,"(41.954521, -87.674868)",41.965996,-87.708821
116,41440,Addison-Brown,01/01/2001,1794.9,637.8,291.0,43494,"(41.947028, -87.674642)",41.80209,-87.618487
117,41310,Paulina,01/01/2001,2030.4,943.3,495.4,50919,"(41.943623, -87.670907)",41.795172,-87.618327
118,40360,Southport,01/01/2001,2668.3,991.0,520.0,65267,"(41.943744, -87.663619)",41.839234,-87.665317
119,41210,Wellington,01/01/2001,2539.9,759.8,378.8,60810,"(41.936033, -87.653266)",41.891665,-87.628021
120,40530,Diversey,01/01/2001,4286.0,1883.5,867.2,106162,"(41.932732, -87.653131)",41.853115,-87.626402
121,40660,Armitage,01/01/2001,3338.0,1060.5,484.8,80102,"(41.918217, -87.652644)",,
122,40800,Sedgwick,01/01/2001,2132.2,963.3,498.8,53255,"(41.910409, -87.639302)",41.871551,-87.66953
123,40710,Chicago/Franklin,01/01/2001,4052.4,1354.0,550.8,97322,"(41.89681, -87.635924)",41.966286,-87.678639
124,40460,Merchandise Mart,01/01/2001,6107.6,1022.3,347.6,140195,"(41.888969, -87.633924)",41.853732,-87.724311
125,40930,Midway Airport,01/01/2001,7579.6,2506.0,1915.6,186353,"(41.78661, -87.737875)",41.829353,-87.680622
126,40960,Pulaski-Orange,01/01/2001,5021.7,1257.8,605.6,118537,"(41.799756, -87.724493)",42.027612,-87.678329
127,41150,Kedzie-Midway,01/01/2001,2907.8,1150.0,583.4,71488,"(41.804236, -87.704406)",42.033456,-87.679538
128,40310,Western-Orange,01/01/2001,3216.8,1051.3,552.6,77738,"(41.804546, -87.684019)",,
129,40120,35th/Archer,01/01/2001,2034.3,640.8,343.4,49035,"(41.829353, -87.680622)",41.878153,-87.627596
130,41060,Ashland-Orange,01/01/2001,1280.0,553.5,304.0,31895,"(41.839234, -87.665317)",,
131,41130,Halsted-Orange,01/01/2001,2385.1,679.3,357.4,56976,"(41.84678, -87.648088)",41.973453,-87.65853
132,40730,Washington/Wells,01/01/2001,7217.2,718.3,303.0,163166,"(41.882695, -87.63378)",41.876862,-87.628196
133,41010,Rockwell,04/01/2006,0.0,0.0,0.0,0,"(41.966115, -87.6941)",,
134,40040,Quincy/Wells,01/01/2001,7928.3,895.8,431.0,180161,"(41.878723, -87.63374)",41.870851,-87.776812
135,40160,LaSalle/Van Buren,01/01/2001,3638.3,300.0,123.4,81860,"(41.8768, -87.631739)",,
136,40850,Library,01/01/2001,2391.6,701.8,248.0,56662,"(41.876862, -87.628196)",41.883164,-87.62944
137,40680,Adams/Wabash,01/01/2001,6918.8,2206.0,978.2,165928,"(41.879507, -87.626037)",,
138,40640,Madison/Wabash,01/01/2001,3693.4,1200.0,388.0,87994,,41.874341,-87.70604
139,40200,Randolph/Wabash,01/01/2001,5544.6,1913.0,896.4,134115,,,
140,40260,State/Lake,01/01/2001,8352.5,3808.5,2390.8,210942,"(41.88574, -87.627835)",41.780536,-87.630952
141,40380,Clark/Lake,01/01/2001,15174.9,2356.3,1363.4,350089,"(41.885737, -87.630886)",,
142,40900,Howard,02/01/2001,6389.5,3761.0,2534.3,152971,"(42.019063, -87.672892)",41.804236,-87.704406
143,41190,Jarvis,02/01/2001,1510.5,1079.3,756.5,37553,"(42.015876, -87.669092)",41.887163,-87.754986
144,40100,Morse,02/01/2001,4478.1,2999.8,2155.8,110184,"(42.008362, -87.665909)",41.735372,-87.624717
145,41300,Loyola,02/01/2001,5010.0,3339.8,2143.0,122130,"(42.001073, -87.661061)",,
146,40760,Granville,02/01/2001,3288.7,2210.3,1601.8,81022,"(41.993664, -87.659202)",41.875478,-87.688436
147,40880,Thorndale,02/01/2001,3099.1,1866.0,1343.8,74821,"(41.990259, -87.659076)",41.966163,-87.688502
148,41380,Bryn Mawr,02/01/2001,4547.2,2706.8,1997.8,109762,"(41.983504, -87.65884)",41.921939,-87.69689
149,40340,Berwyn,02/01/2001,3420.1,2073.8,1564.3,82954,"(41.977984, -87.658668)",41.874257,-87.817318
150,41200,Argyle,02/01/2001,2775.0,1764.3,1311.0,67801,"(41.973453, -87.65853)",,
151,40770,Lawrence,02/01/2001,2742.4,1864.0,1386.3,67848,"(41.969139, -87.658493)",,
152,40540,Wilson,02/01/2001,5368.7,3341.3,2085.0,129078,"(41.964273, -87.657588)",41.983507,-87.859388
153,40080,Sheridan,02/01/2001,4518.0,2572.3,1784.8,107787,"(41.953775, -87.654929)",41.879507,-87.626037
154,41420,Addison-North Main,02/01/2001,4992.7,2905.5,1965.0,119335,"(41.947428, -87.653626)",,
155,41320,Belmont-North Main,02/01/2001,9317.7,6584.5,4737.8,231643,"(41.939751, -87.65338)",,
156,41220,Fullerton,02/01/2001,10417.9,5102.0,3505.3,242787,"(41.925051, -87.652866)",41.977984,-87.658668
157,40650,North/Clybourn,02/01/2001,3576.6,2561.0,1915.8,89439,"(41.910655, -87.649177)",41.98227,-87.8089
158,40630,Clark/Division,02/01/2001,6703.9,4672.8,3485.8,166712,"(41.90392, -87.631412)",41.938132,-87.712359
159,41450,Chicago/State,02/01/2001,12516.1,8718.3,6122.5,309684,"(41.896671, -87.628176)",,
160,40330,Grand/State,02/01/2001,8246.9,5431.0,3910.8,202304,"(41.891665, -87.628021)",,
161,41660,Lake/State,02/01/2001,13598.5,5792.3,3971.0,311022,"(41.884809, -87.627813)",41.90392,-87.631412
162,40500,Washington/State,02/01/2001,6979.9,2758.0,1540.0,156790,,41.821732,-87.621371
163,41090,Monroe/State,02/01/2001,7399.0,2665.0,1488.5,164594,"(41.880745, -87.627696)",41.853751,-87.733258
164,40560,Jackson/State,02/01/2001,11756.0,3877.3,2125.8,259132,"(41.878153, -87.627596)",,
165,41490,Harrison,02/01/2001,2645.3,1287.0,775.8,61156,"(41.874039, -87.627479)",42.038951,-87.751919
166,41400,Roosevelt,02/01/2001,5766.3,3365.8,2268.3,137861,"(41.867368, -87.627402)",41.885586,-87.652193
167,41000,Cermak-Chinatown,02/01/2001,2553.9,2574.0,2002.0,69382,"(41.853206, -87.630968)",,
168,40190,Sox-35th-Dan Ryan,02/01/2001,3588.6,2165.0,1604.8,86850,"(41.831191, -87.630636)",41.871574,-87.745154
169,41230,47th-Dan Ryan,02/01/2001,2400.7,1603.3,1197.3,59216,"(41.810318, -87.63094)",42.02624348,-87.74722084
170,41170,Garfield-Dan Ryan,02/01/2001,4587.7,3002.8,2019.3,111842,"(41.79542, -87.631157)",,
171,40910,63rd-Dan Ryan,02/01/2001,3586.3,2416.5,1950.5,89194,"(41.780536, -87.630952)",,
172,40990,69th,02/01/2001,6869.5,4392.8,2994.0,166937,"(41.768367, -87.625724)",,
173,40240,79th,02/01/2001,7489.3,4700.0,3330.3,181907,"(41.750419, -87.625112)",,
174,41430,87th,02/01/2001,5454.7,3301.5,2206.3,131125,"(41.735372, -87.624717)",41.780309,-87.605857
175,40450,95th/Dan Ryan,02/01/2001,14445.6,7166.5,5282.8,338708,"(41.722377, -87.624342)",,
176,41050,Linden,02/01/2001,1095.9,411.8,252.3,24573,"(42.073153, -87.69073)",41.78661,-87.737875
177,41250,Central-Evanston,02/01/2001,955.2,501.3,269.3,22185,"(42.063987, -87.685617)",,
178,40400,Noyes,02/01/2001,593.2,431.0,215.3,14449,"(42.058282, -87.683337)",,
179,40520,Foster,02/01/2001,708.9,387.5,240.3,16688,"(42.05416, -87.68356)",,
180,40050,Davis,02/01/2001,3528.9,2515.3,1442.8,86409,"(42.04771, -87.683543)",,
181,40690,Dempster,02/01/2001,673.7,415.8,278.3,16249,"(42.041655, -87.681602)",42.063987,-87.685617
182,40270,Main,02/01/2001,1213.8,655.3,377.8,28407,"(42.033456, -87.679538)",41.885412,-87.725404
183,40840,South Boulevard,02/01/2001,841.8,383.3,233.0,19300,"(42.027612, -87.678329)",41.887159,-87.783661
184,40140,Skokie,02/01/2001,2545.5,0.0,0.0,50909,"(42.038951, -87.751919)",,
185,40890,O'Hare Airport,02/01/2001,7844.5,5748.3,6120.8,204366,"(41.97766526, -87.90422307)",42.073153,-87.69073
186,40820,Rosemont,02/01/2001,5236.2,1996.3,1327.8,118020,"(41.983507, -87.859388)",,
